model_name,correct_count,total_questions,accuracy,accuracy_std,total_tokens,avg_tokens_per_question,median_tokens,accuracy_pct,error_rate,ci_lower,ci_upper,efficiency,family
google/gemini-2.5-pro,70,100,0.7,0.4606,177790.0,1777.9,1622.0,70.0,30.0,60.97224,79.02775999999999,0.39,google
moonshotai/kimi-k2-thinking,62,100,0.62,0.4878,248478.0,2484.78,1911.0,62.0,38.0,52.439119999999996,71.56088,0.25,moonshotai
google/gemini-2.5-flash,122,200,0.61,0.489,133982.0,669.91,606.0,61.0,39.0,54.22280576639565,67.77719423360435,0.91,google
qwen/qwen3-max,59,100,0.59,0.4943,99335.0,993.35,816.0,59.0,41.0,49.31172,68.68828,0.59,qwen
openai/gpt-5-mini,57,100,0.57,0.4976,116898.0,1168.98,1065.5,57.0,43.0,47.24704,66.75296,0.49,openai
deepseek/deepseek-r1-0528,56,100,0.56,0.4989,108490.0,1084.9,1052.5,56.0,44.0,46.221560000000004,65.77844,0.52,deepseek
anthropic/claude-haiku-4.5,55,100,0.55,0.5,49860.0,498.6,482.5,55.0,45.0,45.20000000000001,64.8,1.1,anthropic
x-ai/grok-4-fast,106,200,0.53,0.5004,388676.0,1943.38,1397.0,53.0,47.0,46.064809827207334,59.93519017279267,0.27,x-ai
x-ai/grok-3-mini,106,200,0.53,0.5004,294288.0,1471.44,1414.5,53.0,47.0,46.064809827207334,59.93519017279267,0.36,x-ai
openai/gpt-4.1-mini,53,100,0.53,0.5016,54824.0,548.24,543.0,53.0,47.0,43.16864,62.831360000000004,0.97,openai
meta-llama/llama-4-maverick,103,200,0.515,0.501,130021.0,650.105,627.0,51.5,48.5,44.55649425146058,58.44350574853942,0.79,meta-llama
z-ai/glm-4.6,103,200,0.515,0.501,406172.0,2030.86,1927.0,51.5,48.5,44.55649425146058,58.44350574853942,0.25,z-ai
deepseek/deepseek-chat-v3.1,101,200,0.505,0.5012,99931.0,499.655,463.0,50.5,49.5,43.55372239287833,57.44627760712168,1.01,deepseek
moonshotai/kimi-k2-0905,96,200,0.48,0.5009,66438.0,332.19,328.5,48.0,52.0,41.0578801807517,54.94211981924829,1.44,moonshotai
openai/gpt-oss-120b,47,100,0.47,0.5016,102257.0,1022.57,949.5,47.0,53.0,37.168639999999996,56.83136,0.46,openai
google/gemma-3-27b-it,93,200,0.465,0.5,86652.0,433.26,434.0,46.5,53.5,39.57035354437184,53.429646455628166,1.07,google
mistralai/mistral-medium-3.1,90,200,0.45,0.4987,117306.0,592.4545,594.5,45.0,55.0,38.08837062515647,51.911629374843535,0.77,mistralai
meta-llama/llama-3.3-70b-instruct,85,200,0.425,0.4956,101157.0,505.785,496.0,42.5,57.5,35.63133443318136,49.368665566818635,0.84,meta-llama
google/gemma-3n-e4b-it,80,200,0.4,0.4911,90914.0,454.57,455.0,40.0,60.0,33.193701251282015,46.80629874871799,0.88,google
qwen/qwen-2.5-72b-instruct,79,200,0.395,0.4901,101832.0,509.16,503.5,39.5,60.5,32.70756054419328,46.29243945580673,0.78,qwen
google/gemma-3-12b-it,77,200,0.385,0.4878,97816.0,489.08,489.0,38.5,61.5,31.739436917889165,45.260563082110835,0.79,google
meta-llama/llama-3.1-8b-instruct,76,200,0.38,0.4866,76610.0,383.05,376.5,38.0,62.0,31.25606806938267,44.74393193061733,0.99,meta-llama
qwen/qwen3-32b,75,200,0.375,0.4853,258539.0,1292.695,1137.5,37.5,62.5,30.774085150167302,44.2259148498327,0.29,qwen
qwen/qwen-2.5-7b-instruct,67,200,0.335,0.4732,87769.0,438.845,436.5,33.5,66.5,26.941782594393505,40.0582174056065,0.76,qwen
google/gemma-3-4b-it,65,200,0.325,0.4696,134408.0,672.04,522.0,32.5,67.5,25.99167604887403,39.00832395112597,0.48,google
cohere/command-r-08-2024,65,200,0.325,0.4696,52124.0,260.62,259.0,32.5,67.5,25.99167604887403,39.00832395112597,1.25,cohere
mistralai/ministral-8b,64,200,0.32,0.4676,77617.0,388.085,382.0,32.0,68.0,25.51939463469654,38.48060536530346,0.82,mistralai
qwen/qwen3-14b,64,200,0.32,0.4676,375040.0,1875.2,1330.0,32.0,68.0,25.51939463469654,38.48060536530346,0.17,qwen
openai/gpt-oss-20b,60,200,0.3,0.4594,444310.0,2221.55,1765.5,30.0,70.0,23.633040836568842,36.366959163431154,0.14,openai
