Model Name,Accuracy (%),Correct,Total,Embedding Dim
google/gemini-embedding-001,39.02439024390244,16,41,3072
openai/text-embedding-3-large,36.58536585365854,15,41,3072
voyageai/voyage-4-large,36.58536585365854,15,41,1024
google/gemini-embedding-2,34.146341463414636,14,41,3072
perplexity/pplx-embed-v1-0.6b,34.146341463414636,14,41,1024
mistralai/codestral-embed-2505,32.5,13,40,1536
perplexity/pplx-embed-v1-4b,31.70731707317073,13,41,2560
sentence-transformers/all-minilm-l12-v2,31.70731707317073,13,41,384
sentence-transformers/paraphrase-minilm-l6-v2,31.70731707317073,13,41,384
qwen/qwen3-embedding-0.6b,29.268292682926827,12,41,1024
qwen/qwen3-embedding-8b,29.268292682926827,12,41,4096
openai/text-embedding-3-small,26.82926829268293,11,41,1536
openai/text-embedding-ada-002,24.390243902439025,10,41,1536
voyageai/voyage-4,24.390243902439025,10,41,1024
nvidia/nemotron-3-embed-1b:free,21.951219512195124,9,41,2048
qwen/qwen3-embedding-4b,21.951219512195124,9,41,2560
voyageai/voyage-4-lite,21.951219512195124,9,41,1024
mistralai/mistral-embed-2312,14.634146341463412,6,41,1024
