model,accuracy,p_value,significant,significance_level
google/gemini-2.5-pro,70.0,4.374936615614912e-21,True,***
moonshotai/kimi-k2-thinking,62.0,5.950802744196597e-15,True,***
google/gemini-2.5-flash,61.0,5.679308416843498e-27,True,***
qwen/qwen3-max,59.0,5.892703617751324e-13,True,***
openai/gpt-5-mini,56.99999999999999,1.0299705591385625e-11,True,***
deepseek/deepseek-r1-0528,56.00000000000001,4.05598951412214e-11,True,***
anthropic/claude-haiku-4.5,55.00000000000001,1.5353126946060858e-10,True,***
x-ai/grok-4-fast,53.0,2.4415823654277767e-17,True,***
x-ai/grok-3-mini,53.0,2.4415823654277767e-17,True,***
openai/gpt-4.1-mini,53.0,1.9554821683523976e-09,True,***
meta-llama/llama-4-maverick,51.5,8.846636486993265e-16,True,***
z-ai/glm-4.6,51.5,8.846636486993265e-16,True,***
deepseek/deepseek-chat-v3.1,50.5,8.778706966466232e-15,True,***
moonshotai/kimi-k2-0905,48.0,1.931320589454143e-12,True,***
openai/gpt-oss-120b,47.0,1.5919267776240253e-06,True,***
google/gemma-3-27b-it,46.5,3.882432973834727e-11,True,***
mistralai/mistral-medium-3.1,45.0,6.541036417332347e-10,True,***
meta-llama/llama-3.3-70b-instruct,42.5,4.8858591458295587e-08,True,***
google/gemma-3n-e4b-it,40.0,2.2251883747784994e-06,True,***
qwen/qwen-2.5-72b-instruct,39.5,4.4989516227941295e-06,True,***
google/gemma-3-12b-it,38.5,1.7319212495201903e-05,True,***
meta-llama/llama-3.1-8b-instruct,38.0,3.297355380714545e-05,True,***
qwen/qwen3-32b,37.5,6.1527072360131e-05,True,***
qwen/qwen-2.5-7b-instruct,33.5,0.004363388017336873,True,**
google/gemma-3-4b-it,32.5,0.010332090892289725,True,*
cohere/command-r-08-2024,32.5,0.010332090892289725,True,*
mistralai/ministral-8b,32.0,0.01542067104601544,True,*
qwen/qwen3-14b,32.0,0.01542067104601544,True,*
openai/gpt-oss-20b,30.0,0.06247223105646393,False,ns
