question_id,correct_count,total_models,success_rate,std_dev,most_common_answer,correct_answer,success_rate_pct,difficulty_score,difficulty_category,themes,primary_theme
458,0,21,0.0,0.0,2.0,3,0.0,100.0,Very Hard,"حکمت و دانایی, طبیعت",حکمت و دانایی
307,0,21,0.0,0.0,4.0,2,0.0,100.0,Very Hard,"دنیا و زندگی, خدا و معنویت, عشق و محبت",دنیا و زندگی
472,0,21,0.0,0.0,4.0,3,0.0,100.0,Very Hard,"دنیا و زندگی, قدرت و سلطنت, عشق و محبت",دنیا و زندگی
319,0,21,0.0,0.0,3.0,4,0.0,100.0,Very Hard,"طبیعت, عشق و محبت",طبیعت
275,0,29,0.0,0.0,3.0,2,0.0,100.0,Very Hard,سایر,سایر
487,0,21,0.0,0.0,4.0,3,0.0,100.0,Very Hard,"دنیا و زندگی, مرگ و فنا",دنیا و زندگی
352,0,21,0.0,0.0,2.0,3,0.0,100.0,Very Hard,"خدا و معنویت, عشق و محبت",خدا و معنویت
429,0,21,0.0,0.0,4.0,3,0.0,100.0,Very Hard,خدا و معنویت,خدا و معنویت
229,0,29,0.0,0.0,4.0,3,0.0,100.0,Very Hard,عشق و محبت,عشق و محبت
305,0,21,0.0,0.0,3.0,2,0.0,100.0,Very Hard,حکمت و دانایی,حکمت و دانایی
267,1,29,0.0345,0.1857,4.0,2,3.45,96.55,Very Hard,"طبیعت, عشق و محبت",طبیعت
82,1,29,0.0345,0.1857,4.0,3,3.45,96.55,Very Hard,عشق و محبت,عشق و محبت
184,1,29,0.0345,0.1857,4.0,2,3.45,96.55,Very Hard,"حکمت و دانایی, عشق و محبت",حکمت و دانایی
500,1,21,0.0476,0.2182,4.0,3,4.76,95.24,Very Hard,"طبیعت, عشق و محبت",طبیعت
331,1,21,0.0476,0.2182,3.0,4,4.76,95.24,Very Hard,طبیعت,طبیعت
313,1,21,0.0476,0.2182,1.0,4,4.76,95.24,Very Hard,"طبیعت, خدا و معنویت, عشق و محبت",طبیعت
413,1,21,0.0476,0.2182,3.0,1,4.76,95.24,Very Hard,عشق و محبت,عشق و محبت
389,1,21,0.0476,0.2182,3.0,2,4.76,95.24,Very Hard,"قدرت و سلطنت, عشق و محبت",قدرت و سلطنت
219,2,29,0.069,0.2579,4.0,1,6.9,93.1,Very Hard,"مرگ و فنا, عشق و محبت",مرگ و فنا
248,2,29,0.069,0.2579,4.0,3,6.9,93.1,Very Hard,سایر,سایر
269,2,29,0.069,0.2579,2.0,3,6.9,93.1,Very Hard,"دنیا و زندگی, خدا و معنویت, مرگ و فنا, عشق و محبت",دنیا و زندگی
160,2,29,0.069,0.2579,2.0,3,6.9,93.1,Very Hard,"طبیعت, عشق و محبت",طبیعت
215,2,29,0.069,0.2579,2.0,4,6.9,93.1,Very Hard,حکمت و دانایی,حکمت و دانایی
37,2,29,0.069,0.2579,4.0,2,6.9,93.1,Very Hard,عشق و محبت,عشق و محبت
342,2,21,0.0952,0.3008,4.0,3,9.52,90.48,Very Hard,عشق و محبت,عشق و محبت
301,2,21,0.0952,0.3008,4.0,2,9.52,90.48,Very Hard,"حکمت و دانایی, دنیا و زندگی, خدا و معنویت, قدرت و سلطنت",حکمت و دانایی
327,2,21,0.0952,0.3008,4.0,3,9.52,90.48,Very Hard,عشق و محبت,عشق و محبت
333,2,21,0.0952,0.3008,4.0,2,9.52,90.48,Very Hard,"دنیا و زندگی, عشق و محبت",دنیا و زندگی
401,2,21,0.0952,0.3008,1.0,4,9.52,90.48,Very Hard,عشق و محبت,عشق و محبت
444,2,21,0.0952,0.3008,1.0,3,9.52,90.48,Very Hard,طبیعت,طبیعت
491,2,21,0.0952,0.3008,1.0,3,9.52,90.48,Very Hard,سایر,سایر
245,3,29,0.1034,0.3099,3.0,2,10.34,89.66,Very Hard,"طبیعت, عشق و محبت",طبیعت
244,3,29,0.1034,0.3099,4.0,1,10.34,89.66,Very Hard,"قدرت و سلطنت, خدا و معنویت, عشق و محبت",قدرت و سلطنت
91,3,29,0.1034,0.3099,1.0,3,10.34,89.66,Very Hard,قدرت و سلطنت,قدرت و سلطنت
209,3,29,0.1034,0.3099,4.0,3,10.34,89.66,Very Hard,"طبیعت, مرگ و فنا, عشق و محبت",طبیعت
217,3,29,0.1034,0.3099,1.0,2,10.34,89.66,Very Hard,عشق و محبت,عشق و محبت
