model_name,question_number,model_answer,completion_tokens
google/gemini-2.0-flash-001,6,2,2
google/gemini-2.0-flash-001,12,4,2
google/gemini-2.0-flash-001,14,2,2
google/gemini-2.0-flash-001,21,2,2
google/gemini-2.0-flash-001,24,2,2
google/gemini-2.0-flash-001,40,2,2
google/gemini-2.0-flash-001,42,2,2
google/gemini-2.0-flash-001,44,3,2
google/gemini-2.0-flash-001,46,1,2
google/gemini-2.0-flash-001,48,2,2
google/gemini-2.0-flash-001,53,2,2
google/gemini-2.0-flash-001,54,4,2
google/gemini-2.0-flash-001,55,1,2
google/gemini-2.0-flash-001,59,4,2
google/gemini-2.0-flash-001,60,3,2
google/gemini-2.0-flash-001,79,1,2
google/gemini-2.0-flash-001,85,1,2
google/gemini-2.0-flash-001,86,2,2
google/gemini-2.0-flash-001,91,1,2
google/gemini-2.0-flash-001,95,1,2
google/gemini-2.0-flash-001,97,2,2
google/gemini-2.0-flash-001,102,3,2
google/gemini-2.0-flash-001,105,2,2
google/gemini-2.0-flash-001,108,4,2
google/gemini-2.0-flash-001,110,3,2
google/gemini-2.0-flash-001,113,2,2
google/gemini-2.0-flash-001,134,4,2
google/gemini-2.0-flash-001,137,4,2
google/gemini-2.0-flash-001,142,2,2
google/gemini-2.0-flash-001,151,3,2
google/gemini-2.0-flash-001,153,1,2
google/gemini-2.0-flash-001,155,2,2
google/gemini-2.0-flash-001,163,3,2
google/gemini-2.0-flash-001,164,2,2
google/gemini-2.0-flash-001,169,4,2
google/gemini-2.0-flash-001,171,1,2
google/gemini-2.0-flash-001,182,1,2
google/gemini-2.0-flash-001,186,3,2
google/gemini-2.0-flash-001,195,1,2
google/gemini-2.0-flash-001,203,2,2
google/gemini-2.0-flash-001,208,4,2
google/gemini-2.0-flash-001,224,3,2
openai/gpt-4o-mini,6,1,2
openai/gpt-4o-mini,12,4,2
openai/gpt-4o-mini,14,1,2
openai/gpt-4o-mini,21,3,2
openai/gpt-4o-mini,24,1,2
openai/gpt-4o-mini,40,2,2
openai/gpt-4o-mini,42,3,2
openai/gpt-4o-mini,44,3,2
openai/gpt-4o-mini,46,3,2
openai/gpt-4o-mini,48,2,2
openai/gpt-4o-mini,53,3,2
openai/gpt-4o-mini,54,3,2
openai/gpt-4o-mini,55,1,2
openai/gpt-4o-mini,59,3,2
openai/gpt-4o-mini,60,2,2
openai/gpt-4o-mini,79,2,2
openai/gpt-4o-mini,85,1,2
openai/gpt-4o-mini,86,3,2
openai/gpt-4o-mini,91,4,2
openai/gpt-4o-mini,95,3,2
openai/gpt-4o-mini,97,2,2
openai/gpt-4o-mini,102,3,2
openai/gpt-4o-mini,105,4,2
openai/gpt-4o-mini,108,4,2
openai/gpt-4o-mini,110,3,2
openai/gpt-4o-mini,113,1,2
openai/gpt-4o-mini,134,4,2
openai/gpt-4o-mini,137,2,2
openai/gpt-4o-mini,142,2,2
openai/gpt-4o-mini,151,2,2
openai/gpt-4o-mini,153,1,2
openai/gpt-4o-mini,155,2,2
openai/gpt-4o-mini,163,2,2
openai/gpt-4o-mini,164,4,2
openai/gpt-4o-mini,169,4,2
openai/gpt-4o-mini,171,1,2
openai/gpt-4o-mini,182,4,2
openai/gpt-4o-mini,186,4,2
openai/gpt-4o-mini,195,1,2
openai/gpt-4o-mini,203,3,2
openai/gpt-4o-mini,208,4,2
openai/gpt-4o-mini,224,4,2
openai/gpt-4o,6,1,2
openai/gpt-4o,12,4,2
openai/gpt-4o,14,1,2
openai/gpt-4o,21,3,2
openai/gpt-4o,24,3,2
openai/gpt-4o,40,3,2
openai/gpt-4o,42,3,2
openai/gpt-4o,44,3,2
openai/gpt-4o,46,1,2
openai/gpt-4o,48,2,2
openai/gpt-4o,53,2,2
openai/gpt-4o,54,4,2
openai/gpt-4o,55,1,2
openai/gpt-4o,59,4,2
openai/gpt-4o,60,1,2
openai/gpt-4o,79,1,2
openai/gpt-4o,85,1,2
openai/gpt-4o,86,1,2
openai/gpt-4o,91,1,2
openai/gpt-4o,95,4,2
openai/gpt-4o,97,4,2
openai/gpt-4o,102,3,2
openai/gpt-4o,105,2,2
openai/gpt-4o,108,4,2
openai/gpt-4o,110,3,2
openai/gpt-4o,113,2,2
openai/gpt-4o,134,4,2
openai/gpt-4o,137,4,2
openai/gpt-4o,142,2,2
openai/gpt-4o,151,2,2
openai/gpt-4o,153,1,2
openai/gpt-4o,155,2,2
openai/gpt-4o,163,3,2
openai/gpt-4o,164,3,2
openai/gpt-4o,169,4,2
openai/gpt-4o,171,2,2
openai/gpt-4o,182,1,2
openai/gpt-4o,186,4,2
openai/gpt-4o,195,1,2
openai/gpt-4o,203,3,2
openai/gpt-4o,208,4,2
openai/gpt-4o,224,2,2
openai/o1-mini,6,2,589
openai/o1-mini,12,2,1039
openai/o1-mini,14,2,844
openai/o1-mini,21,4,845
openai/o1-mini,24,4,589
openai/o1-mini,40,2,525
openai/o1-mini,42,3,461
openai/o1-mini,44,4,268
openai/o1-mini,46,4,909
openai/o1-mini,48,2,844
openai/o1-mini,53,2,461
openai/o1-mini,54,3,525
openai/o1-mini,55,4,781
openai/o1-mini,59,4,781
openai/o1-mini,60,2,909
openai/o1-mini,79,1,589
openai/o1-mini,85,1,396
openai/o1-mini,86,3,653
openai/o1-mini,91,4,781
openai/o1-mini,95,4,653
openai/o1-mini,97,4,717
openai/o1-mini,102,4,1295
openai/o1-mini,105,2,460
openai/o1-mini,108,3,652
openai/o1-mini,110,3,461
openai/o1-mini,113,1,1101
openai/o1-mini,134,4,589
openai/o1-mini,137,4,589
openai/o1-mini,142,4,525
openai/o1-mini,151,2,1230
openai/o1-mini,153,1,716
openai/o1-mini,155,2,1101
openai/o1-mini,163,2,589
openai/o1-mini,164,4,1421
openai/o1-mini,169,4,717
openai/o1-mini,171,1,397
openai/o1-mini,182,3,653
openai/o1-mini,186,3,525
openai/o1-mini,195,3,525
openai/o1-mini,203,2,460
openai/o1-mini,208,4,461
openai/o1-mini,224,2,781
meta-llama/llama-3.3-70b-instruct,6,4,1
meta-llama/llama-3.3-70b-instruct,12,4,1
meta-llama/llama-3.3-70b-instruct,14,1,1
meta-llama/llama-3.3-70b-instruct,21,4,1
meta-llama/llama-3.3-70b-instruct,24,2,1
meta-llama/llama-3.3-70b-instruct,40,1,1
meta-llama/llama-3.3-70b-instruct,42,4,2
meta-llama/llama-3.3-70b-instruct,44,3,1
