Embedding Model,Explanation Model,Accuracy (%),Correct,Total
qwen/qwen3-embedding-0.6b,anthropic/claude-haiku-4.5,58.333333333333336,7,12
qwen/qwen3-embedding-0.6b,deepseek/deepseek-chat-v3.1,50.0,6,12
qwen/qwen3-embedding-0.6b,deepseek/deepseek-r1-0528,25.0,3,12
qwen/qwen3-embedding-0.6b,google/gemini-2.5-flash,16.666666666666664,2,12
qwen/qwen3-embedding-0.6b,google/gemini-2.5-pro,25.0,3,12
qwen/qwen3-embedding-0.6b,minimax/minimax-m2,10.0,1,10
qwen/qwen3-embedding-0.6b,moonshotai/kimi-k2-thinking,50.0,5,10
qwen/qwen3-embedding-0.6b,moonshotai/kimi-linear-48b-a3b-instruct,25.0,3,12
qwen/qwen3-embedding-0.6b,openai/gpt-5,41.66666666666667,5,12
qwen/qwen3-embedding-0.6b,openai/gpt-oss-120b,33.33333333333333,4,12
qwen/qwen3-embedding-0.6b,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
qwen/qwen3-embedding-0.6b,x-ai/grok-4,58.333333333333336,7,12
qwen/qwen3-embedding-0.6b,z-ai/glm-4.6,33.33333333333333,4,12
mistralai/mistral-embed-2312,anthropic/claude-haiku-4.5,66.66666666666666,8,12
mistralai/mistral-embed-2312,deepseek/deepseek-chat-v3.1,41.66666666666667,5,12
mistralai/mistral-embed-2312,deepseek/deepseek-r1-0528,41.66666666666667,5,12
mistralai/mistral-embed-2312,google/gemini-2.5-flash,16.666666666666664,2,12
mistralai/mistral-embed-2312,google/gemini-2.5-pro,33.33333333333333,4,12
mistralai/mistral-embed-2312,minimax/minimax-m2,30.0,3,10
mistralai/mistral-embed-2312,moonshotai/kimi-k2-thinking,20.0,2,10
mistralai/mistral-embed-2312,moonshotai/kimi-linear-48b-a3b-instruct,0.0,0,12
mistralai/mistral-embed-2312,openai/gpt-5,33.33333333333333,4,12
mistralai/mistral-embed-2312,openai/gpt-oss-120b,16.666666666666664,2,12
mistralai/mistral-embed-2312,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
mistralai/mistral-embed-2312,x-ai/grok-4,50.0,6,12
mistralai/mistral-embed-2312,z-ai/glm-4.6,66.66666666666666,8,12
google/gemini-embedding-001,anthropic/claude-haiku-4.5,58.333333333333336,7,12
google/gemini-embedding-001,deepseek/deepseek-chat-v3.1,50.0,6,12
google/gemini-embedding-001,deepseek/deepseek-r1-0528,58.333333333333336,7,12
google/gemini-embedding-001,google/gemini-2.5-flash,50.0,6,12
google/gemini-embedding-001,google/gemini-2.5-pro,66.66666666666666,8,12
google/gemini-embedding-001,minimax/minimax-m2,50.0,5,10
google/gemini-embedding-001,moonshotai/kimi-k2-thinking,50.0,5,10
google/gemini-embedding-001,moonshotai/kimi-linear-48b-a3b-instruct,33.33333333333333,4,12
google/gemini-embedding-001,openai/gpt-5,58.333333333333336,7,12
google/gemini-embedding-001,openai/gpt-oss-120b,25.0,3,12
google/gemini-embedding-001,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
google/gemini-embedding-001,x-ai/grok-4,50.0,6,12
