Explanation Model,Mean Accuracy,Std Accuracy,Min Accuracy,Max Accuracy,Total Correct,Total Questions
anthropic/claude-haiku-4.5,48.14814814814815,12.344714468493871,25.0,66.66666666666666,52,108
x-ai/grok-4,48.14814814814815,12.344714468493875,25.0,58.333333333333336,52,108
deepseek/deepseek-chat-v3.1,48.148148148148145,12.344714468493873,25.0,66.66666666666666,52,108
z-ai/glm-4.6,47.22222222222222,13.176156917368246,25.0,66.66666666666666,51,108
openai/gpt-5,44.44444444444444,17.17960677340692,8.333333333333332,58.333333333333336,48,108
deepseek/deepseek-r1-0528,43.51851851851851,13.028932666176193,25.0,66.66666666666666,47,108
google/gemini-2.5-pro,42.59259259259259,15.835769793043582,16.666666666666664,66.66666666666666,46,108
moonshotai/kimi-k2-thinking,42.22222222222222,20.48034287907418,10.0,70.0,38,90
google/gemini-2.5-flash,32.407407407407405,12.108052620946317,16.666666666666664,50.0,35,108
minimax/minimax-m2,27.77777777777778,10.929064207170002,10.0,50.0,25,90
moonshotai/kimi-linear-48b-a3b-instruct,22.22222222222222,14.433756729740644,0.0,50.0,24,108
openai/gpt-oss-120b,18.51851851851852,12.344714468493871,0.0,33.33333333333333,20,108
qwen/qwen3-235b-a22b-thinking-2507,0.0,0.0,0.0,0.0,0,0
