model_name,question_number,model_answer,completion_tokens
google/gemini-2.0-flash-001,21,1,2
google/gemini-2.0-flash-001,24,2,2
google/gemini-2.0-flash-001,40,3,2
google/gemini-2.0-flash-001,42,2,2
google/gemini-2.0-flash-001,44,3,2
google/gemini-2.0-flash-001,46,1,2
google/gemini-2.0-flash-001,48,4,2
google/gemini-2.0-flash-001,53,2,2
google/gemini-2.0-flash-001,54,4,2
google/gemini-2.0-flash-001,55,2,2
google/gemini-2.0-flash-001,59,4,2
google/gemini-2.0-flash-001,60,1,2
google/gemini-2.0-flash-001,79,1,2
google/gemini-2.0-flash-001,85,1,2
google/gemini-2.0-flash-001,86,1,2
google/gemini-2.0-flash-001,91,1,2
google/gemini-2.0-flash-001,95,4,2
google/gemini-2.0-flash-001,97,2,2
google/gemini-2.0-flash-001,102,3,2
google/gemini-2.0-flash-001,105,4,2
google/gemini-2.0-flash-001,108,4,2
google/gemini-2.0-flash-001,110,3,2
google/gemini-2.0-flash-001,113,2,2
google/gemini-2.0-flash-001,134,4,2
google/gemini-2.0-flash-001,137,4,2
google/gemini-2.0-flash-001,142,2,2
google/gemini-2.0-flash-001,151,2,2
google/gemini-2.0-flash-001,153,1,2
google/gemini-2.0-flash-001,155,4,2
google/gemini-2.0-flash-001,163,3,2
google/gemini-2.0-flash-001,164,4,2
google/gemini-2.0-flash-001,169,4,2
google/gemini-2.0-flash-001,171,1,2
google/gemini-2.0-flash-001,182,1,2
google/gemini-2.0-flash-001,186,4,2
google/gemini-2.0-flash-001,195,1,2
google/gemini-2.0-flash-001,203,2,2
google/gemini-2.0-flash-001,208,4,2
google/gemini-2.0-flash-001,224,4,2
openai/gpt-4o-mini,21,3,2
openai/gpt-4o-mini,24,2,2
openai/gpt-4o-mini,40,1,2
openai/gpt-4o-mini,42,1,2
openai/gpt-4o-mini,44,3,2
openai/gpt-4o-mini,46,3,2
openai/gpt-4o-mini,48,2,2
openai/gpt-4o-mini,53,3,2
openai/gpt-4o-mini,54,2,2
openai/gpt-4o-mini,55,1,2
openai/gpt-4o-mini,59,1,2
openai/gpt-4o-mini,60,2,2
openai/gpt-4o-mini,79,1,2
openai/gpt-4o-mini,85,1,2
openai/gpt-4o-mini,86,1,2
openai/gpt-4o-mini,91,1,2
openai/gpt-4o-mini,95,1,2
openai/gpt-4o-mini,97,2,2
openai/gpt-4o-mini,102,3,2
openai/gpt-4o-mini,105,1,2
openai/gpt-4o-mini,108,1,2
openai/gpt-4o-mini,110,4,2
openai/gpt-4o-mini,113,1,2
openai/gpt-4o-mini,134,1,2
openai/gpt-4o-mini,137,3,2
openai/gpt-4o-mini,142,1,2
openai/gpt-4o-mini,151,3,2
openai/gpt-4o-mini,153,1,2
openai/gpt-4o-mini,155,2,2
openai/gpt-4o-mini,163,2,2
openai/gpt-4o-mini,164,1,2
openai/gpt-4o-mini,169,4,2
openai/gpt-4o-mini,171,1,2
openai/gpt-4o-mini,182,1,2
openai/gpt-4o-mini,186,3,2
openai/gpt-4o-mini,195,1,2
openai/gpt-4o-mini,203,2,2
openai/gpt-4o-mini,208,4,2
openai/gpt-4o-mini,224,4,2
openai/gpt-4o,21,3,2
